rank,name,typ,wsk,ind_01,ind_02,ind_03,ind_04,ind_05,ind_06,ind_07,ind_08,ind_09,ind_10,ind_11,ind_12,ind_13,ind_14,ind_15,ind_16,ind_17,ind_18,ind_19,ind_20,ind_21,ind_22,ind_23,ind_24,ind_25,ind_26,ind_27,ind_28,ind_29,year,canonical,ind_30,ind_31
46=,Wojskowa Akademia Techniczna im. J. Dąbrowskiego w Warszawie,P,56.55,9.41,11.4,80.38,74.25,70.92,38.14,25.11,100.0,11.6,12.1,35.95,35.53,33.4,36.18,37.9,44.19,18.32,28.31,42.63,73.09,26.88,6.31,1.76,22.5,0.0,1.65,11.93,13.39,20.23,2026,WAT,10.62,
46=,Uniwersytet Ekonomiczny w Poznaniu,P,56.46,10.0,10.65,71.36,77.5,65.83,82.61,7.17,40.63,0.43,0.0,66.17,55.56,0.0,17.09,25.13,26.24,25.78,31.69,61.83,46.88,45.16,29.5,13.49,23.48,0.0,5.88,63.03,13.05,31.87,2026,,52.21,
46=,Akademia Finansów i Biznesu Vistula,N,56.34,1.12,5.89,73.01,76.34,73.85,30.12,8.97,10.0,0.0,0.0,56.59,26.02,0.0,71.64,8.57,21.44,33.23,30.11,70.54,5.33,19.35,100.0,100.0,27.2,0.0,43.14,88.24,5.38,5.37,2026,,88.5,
50=,Uniwersytet Szczeciński,P,54.85,9.44,13.42,54.79,57.02,73.66,72.17,56.5,45.22,0.96,3.15,73.72,49.12,37.68,32.0,23.98,27.63,26.4,28.99,42.19,64.87,6.45,22.07,25.36,30.14,0.0,14.71,39.22,19.48,39.42,2026,,32.74,
50=,Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie,P,54.72,12.42,17.07,57.99,29.57,77.19,95.71,32.29,40.73,15.12,11.0,69.04,30.46,26.0,53.34,34.62,41.31,26.09,30.79,66.52,89.65,0.0,9.63,1.44,23.87,0.0,7.95,28.98,8.84,26.75,2026,,17.7,
50=,Politechnika Częstochowska,P,54.69,5.01,12.48,70.76,47.63,64.33,67.34,21.52,40.93,16.87,3.29,62.18,39.02,24.77,26.18,25.23,50.31,22.98,30.79,31.92,84.7,17.2,61.3,8.03,23.48,0.0,6.81,12.95,9.28,74.82,2026,Politechnika Czestochowska,23.89,
53-61,Politechnika Koszalińska,P,,3.04,4.98,70.01,58.19,69.77,52.76,12.11,86.84,20.13,0.0,46.9,46.62,0.0,20.37,4.96,36.36,22.05,28.09,46.21,67.64,4.3,20.53,2.5,24.46,100.0,12.2,54.24,2.0,14.03,2026,Politechnika Koszalinska,0.0,
53-61,Politechnika Rzeszowska im. Ignacego Łukasiewicza,P,,7.81,15.89,69.23,48.95,67.98,54.83,31.84,45.21,50.42,10.45,56.44,38.44,22.15,43.03,32.92,33.62,22.36,29.89,39.96,47.38,7.53,4.79,1.13,26.61,0.0,6.36,49.88,8.38,22.05,2026,Politechnika Rzeszowska,0.0,
53-61,Społeczna Akademia Nauk w Łodzi,N,,0.3,7.36,66.8,64.6,73.78,25.41,4.48,0.0,0.0,0.0,42.44,36.99,0.0,53.03,3.67,49.59,51.24,51.69,84.15,4.3,4.3,49.89,100.0,30.33,0.0,35.04,100.0,9.17,5.8,2026,,26.55,
53-61,Uniwersytet Ekonomiczny w Katowicach,P,,5.45,9.68,67.8,69.0,65.83,63.19,7.17,56.2,0.0,0.0,56.5,42.22,0.0,29.02,23.17,19.2,40.37,41.8,49.11,33.42,25.81,11.38,32.02,33.86,100.0,0.9,79.28,26.32,26.23,2026,,37.17,
53-61,Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie,P,,13.59,9.48,60.07,58.32,76.83,84.51,48.43,62.0,2.69,0.0,31.58,52.09,0.0,51.72,21.22,26.51,21.74,27.64,37.5,58.5,8.6,9.25,3.39,25.24,0.0,10.45,62.17,25.38,11.64,2026,,23.01,
53-61,Uniwersytet Przyrodniczy w Lublinie,P,,10.67,14.68,51.28,15.46,75.0,94.75,25.11,32.3,21.52,0.0,63.52,35.32,11.22,49.7,30.54,45.87,23.6,27.87,50.0,84.59,21.51,19.43,4.92,26.61,0.0,2.54,100.0,4.21,31.53,2026,,24.78,
53-61,Uniwersytet w Białymstoku,P,,8.72,18.49,53.95,44.11,75.6,75.53,39.91,74.16,3.02,11.41,34.59,29.82,16.99,33.18,26.88,24.89,28.57,45.39,48.88,69.45,13.98,26.2,0.0,50.68,0.0,16.02,71.27,16.99,25.06,2026,,0.0,
53-61,Uniwersytet WSB Merito w Gdańsku,N,,0.84,6.59,66.16,60.26,75.93,28.11,8.07,0.0,0.0,0.0,56.54,26.28,0.0,83.85,0.0,32.61,56.52,100.0,77.01,3.77,23.66,21.45,8.47,39.14,0.0,25.49,76.47,6.59,1.9,2026,,46.02,
53-61,Uniwersytet Zielonogórski,P,,9.75,19.7,69.61,56.69,72.67,61.62,63.68,17.63,4.55,16.58,52.82,30.09,27.8,33.43,25.36,35.52,32.92,28.76,54.02,58.04,0.0,10.02,0.42,30.14,0.0,10.82,25.54,15.8,22.73,2026,,14.16,
62-70,Akademia Humanitas w Sosnowcu,N,,1.26,3.65,79.89,81.92,60.83,36.5,3.14,0.0,0.0,0.0,41.6,15.17,0.0,72.5,23.53,14.79,26.4,30.79,52.68,13.22,0.0,68.63,64.5,14.29,0.0,79.21,7.92,3.56,2.34,2026,,0.0,
62-70,Politechnika Bydgoska im. Jana i Jędrzeja Śniadeckich,P,,4.33,9.19,71.28,61.17,71.43,51.39,27.8,6.52,21.9,47.6,58.17,29.22,27.45,37.87,34.34,39.6,22.36,28.09,42.86,47.38,4.3,4.12,0.0,22.7,0.0,6.55,32.73,4.31,34.29,2026,Politechnika Bydgoska,0.0,
62-70,Politechnika Świętokrzyska w Kielcach,P,,2.74,7.32,67.91,37.94,74.97,42.6,14.35,98.8,31.2,0.0,50.38,41.03,0.0,38.64,32.47,50.52,15.53,22.47,28.35,47.0,4.3,32.38,15.05,14.68,0.0,5.01,57.14,6.93,28.37,2026,Politechnika Swietokrzyska,21.24,
62-70,Uniwersytet Civitas w Warszawie,N,,2.05,5.28,66.98,67.56,65.83,33.21,3.14,0.0,0.0,0.0,46.21,14.79,0.0,26.38,0.0,34.91,25.78,28.99,66.29,13.22,0.0,100.0,45.32,17.22,0.0,54.05,100.0,45.61,100.0,2026,,35.4,
62-70,Uniwersytet Morski w Gdyni,P,,2.79,9.37,73.51,52.47,62.77,46.0,11.66,47.95,4.7,2.07,47.14,80.11,21.31,22.17,20.87,29.7,21.43,26.29,51.34,49.03,6.45,16.78,0.43,29.55,0.0,4.92,13.54,41.43,16.25,2026,Uniwersytet Morski w Gdyni,0.0,
62-70,Uniwersytet Papieski Jana Pawła II w Krakowie,P,,5.21,5.54,55.69,52.17,73.51,82.71,17.04,43.81,0.83,0.0,9.36,59.1,0.0,64.8,37.67,9.04,23.6,18.43,40.18,71.83,8.6,14.52,2.4,9.0,0.0,1.54,12.31,12.14,20.62,2026,,19.47,
62-70,Uniwersytet Pomorski w Słupsku,P,,1.3,4.38,67.84,60.21,64.3,43.76,13.0,40.28,0.0,0.0,57.31,25.4,0.0,39.64,23.32,18.58,24.53,31.01,38.84,55.94,0.0,57.7,3.88,18.98,0.0,7.12,32.05,5.07,96.2,2026,,0.0,
62-70,Uniwersytet Rzeszowski,P,,10.72,16.23,57.94,31.09,73.61,63.45,64.13,28.61,16.86,0.0,37.23,54.06,19.05,42.3,38.08,44.31,24.53,31.01,45.98,48.03,0.0,8.43,3.87,27.01,0.0,9.41,63.37,9.1,13.42,2026,,20.35,
62-70,Uniwersytet WSB Merito w Poznaniu,N,,0.93,6.59,72.61,71.3,78.36,14.53,6.73,0.0,0.0,0.0,47.7,42.01,52.72,63.38,0.0,62.89,30.12,39.1,51.56,1.31,15.05,19.48,4.55,23.87,0.0,2.58,41.29,1.7,1.54,2026,,43.36,
71-80,Akademia Pedagogiki Specjalnej im. M. Grzegorzewskiej w Warszawie,P,,1.63,5.62,60.52,76.67,65.7,48.34,10.31,35.53,0.0,0.0,43.7,43.46,3.96,43.77,23.88,14.08,22.36,23.15,46.43,56.32,0.0,6.69,2.04,15.85,0.0,4.97,3.73,8.35,11.2,2026,,0.0,
71-80,AWF im. Jerzego Kukuczki w Katowicach,P,,3.18,8.17,49.03,58.68,,42.22,3.59,63.83,36.63,0.0,5.94,98.2,0.0,61.58,51.02,77.77,21.74,26.97,33.93,25.08,0.0,3.05,0.0,18.98,0.0,5.26,33.33,9.28,15.19,2026,,0.0,
71-80,Lubelska Akademia WSEI,N,,0.37,2.02,85.89,73.37,46.68,27.79,3.14,15.79,5.74,0.0,44.03,8.58,0.0,66.97,12.12,29.81,18.01,32.81,40.63,8.93,2.15,73.82,37.22,18.59,0.0,14.29,60.0,5.93,3.9,2026,,29.2,
71-80,Politechnika Morska w Szczecinie,P,,1.75,4.36,65.23,34.54,70.15,30.6,9.42,41.03,7.92,0.0,41.03,14.75,24.89,23.49,31.58,19.99,25.47,36.63,59.38,41.08,10.75,65.0,17.87,31.12,0.0,4.6,33.72,4.8,1.2,2026,Politechnika Morska w Szczecinie,15.93,
71-80,Uniwersytet DSW Ideis,N,,0.42,5.08,63.61,63.17,82.29,30.5,5.83,0.0,0.0,0.0,27.91,89.66,0.0,83.43,0.0,20.44,16.15,23.37,65.18,4.77,0.0,23.84,3.32,11.35,0.0,8.51,70.92,4.29,2.32,2026,,29.2,
71-80,Uniwersytet Ignatianum w Krakowie,P,,4.3,5.92,53.0,44.25,76.44,53.66,11.21,86.67,0.0,0.0,23.33,54.27,32.57,31.08,19.35,9.94,19.57,17.3,39.51,45.07,8.6,6.03,0.0,18.2,0.0,8.73,54.15,14.94,16.52,2026,,0.0,
71-80,Uniwersytet Jana Długosza w Częstochowie,P,,2.61,8.05,52.35,11.86,74.67,60.92,29.15,47.52,3.72,27.85,31.5,32.28,15.63,52.66,29.35,22.21,20.81,34.16,38.84,50.02,0.0,17.22,1.25,18.98,100.0,11.81,90.3,3.81,22.81,2026,,0.0,
71-80,Uniwersytet Jana Kochanowskiego w Kielcach,P,,4.56,10.23,56.57,29.16,65.88,62.64,48.43,47.97,4.64,0.0,40.31,24.83,22.52,41.51,22.22,27.52,21.43,28.99,33.26,63.68,0.0,12.84,5.62,17.61,0.0,11.74,41.99,6.96,15.26,2026,,25.66,
71-80,Uniwersytet Kazimierza Wielkiego w Bydgoszczy,P,,4.0,10.06,56.1,43.37,66.32,60.2,39.46,54.5,7.64,0.0,47.12,31.48,4.67,45.08,28.03,21.11,19.25,29.44,34.15,58.42,0.0,16.26,0.0,14.48,0.0,16.17,12.44,7.8,25.3,2026,,0.0,
71-80,Uniwersytet Komisji Edukacji Narodowej w Krakowie,P,,4.09,3.42,56.72,47.98,69.2,56.37,47.53,80.24,2.09,0.0,35.51,46.92,0.0,41.56,24.97,10.23,21.12,25.84,42.19,33.71,6.45,13.84,0.04,21.33,0.0,15.09,60.38,10.95,13.5,2026,,15.93,
81-93,Akademia Humanistyczno-Ekonomiczna w Łodzi,N,,0.58,5.55,96.17,83.87,65.83,11.01,1.79,80.0,0.0,0.0,36.58,16.53,0.0,47.77,0.0,6.51,17.08,16.63,5.13,5.52,0.0,18.29,3.16,22.7,0.0,12.9,19.35,4.46,10.49,2026,,20.35,
81-93,Akademia Jagiellońska w Toruniu,N,,1.34,0.75,70.43,70.06,65.83,77.68,4.48,0.0,0.0,0.0,0.0,0.55,0.0,30.36,100.0,0.0,0.0,0.0,0.0,35.22,0.0,0.83,20.0,0.0,0.0,96.55,68.97,0.0,0.0,2026,,0.0,
81-93,Akademia Kujawsko-Pomorska w Bydgoszczy,N,,0.88,3.32,79.25,71.09,65.83,95.79,1.79,0.0,0.0,0.0,0.0,59.37,0.0,9.81,0.0,0.0,0.0,0.0,0.0,37.72,0.0,8.55,0.0,0.0,0.0,77.42,100.0,0.0,17.99,2026,,0.0,
81-93,AWFiS im. Jędrzeja Śniadeckiego w Gdańsku,P,,2.27,6.44,51.02,61.52,,33.73,3.59,71.43,0.0,0.0,10.82,45.18,0.0,47.81,71.88,100.0,27.02,30.79,36.38,18.09,0.0,16.79,9.67,14.09,0.0,11.76,16.47,10.21,10.15,2026,,25.66,
81-93,AWF im. Eugeniusza Piaseckiego w Poznaniu,P,,2.33,4.84,48.79,50.76,,52.72,3.59,61.54,0.0,0.0,11.22,22.25,29.35,50.51,9.14,43.53,23.29,28.31,38.62,31.97,0.0,8.87,0.0,20.16,0.0,1.98,51.49,37.02,17.39,2026,,0.0,
81-93,AWF im. Polskich Olimpijczyków we Wrocławiu,P,,2.78,8.14,47.92,49.8,,43.12,3.59,43.75,0.0,0.0,11.42,26.05,0.0,53.45,43.3,89.51,29.81,26.97,34.6,23.67,0.0,7.14,0.0,18.2,0.0,7.02,66.67,10.15,6.68,2026,,0.0,
81-93,AWF Józefa Piłsudskiego w Warszawie,P,,2.54,7.5,51.14,63.94,,35.43,3.59,62.0,0.0,0.0,11.14,93.27,0.0,25.42,22.43,50.6,31.37,34.83,32.81,22.48,0.0,7.43,0.0,22.9,0.0,0.0,100.0,18.35,41.26,2026,,0.0,
81-93,Międzynarodowa Wyższa Szkoła Logistyki i Transportu we Wrocławiu,N,,0.13,2.9,74.19,87.16,,51.2,0.9,0.0,0.0,40.11,41.1,39.09,0.0,0.0,0.0,16.76,18.94,24.94,0.0,11.03,0.0,100.0,54.45,17.22,0.0,40.0,100.0,34.67,38.0,2026,,20.35,
81-93,Uniwersytet Andrzeja Frycza Modrzewskiego w Krakowie,N,,1.74,3.19,64.57,52.34,61.37,39.87,12.11,0.0,0.0,0.0,8.32,7.84,0.0,67.05,25.5,33.86,19.88,21.8,22.77,19.8,4.3,40.25,6.31,15.85,0.0,9.6,41.6,4.87,10.95,2026,,25.66,
81-93,Uniwersytet Bielsko-Bialski,P,,1.43,5.39,74.43,55.22,67.08,48.42,17.04,40.54,3.08,6.45,44.28,20.46,0.0,29.31,13.79,24.54,19.57,34.61,35.71,39.45,0.0,5.68,1.07,13.7,0.0,15.34,57.51,2.92,14.64,2026,Uniwersytet Bielsko-Bialski,0.0,
81-93,Uniwersytet Kaliski im. Prezydenta Stanisława Wojciechowskiego,P,,1.47,1.43,80.65,42.14,65.83,51.2,6.73,23.19,10.84,0.0,0.0,63.21,0.0,48.57,38.1,0.0,0.0,0.0,0.0,31.67,0.0,10.41,0.0,0.0,0.0,7.25,50.72,0.61,22.34,2026,,0.0,
81-93,Uniwersytet Radomski im. Kazimierza Pułaskiego,P,,0.48,6.64,66.36,53.6,65.83,56.1,17.49,0.0,5.49,6.9,29.78,26.78,0.0,20.56,14.52,22.02,18.63,30.56,31.03,34.64,0.0,37.67,0.0,16.44,0.0,10.56,100.0,5.84,11.2,2026,Uniwersytet Radomski,0.0,
81-93,Uniwersytet w Siedlcach,P,,2.95,5.09,62.92,33.7,61.6,72.28,19.73,28.03,3.23,19.49,40.03,33.76,0.0,29.9,11.73,23.4,18.63,24.72,27.23,61.89,0.0,13.79,0.0,17.22,0.0,9.63,91.98,7.17,23.57,2026,,0.0,
90+,Akademia Górnośląska im. Wojciecha Korfantego w Katowicach,N,,1.09,3.81,65.85,53.29,,24.98,2.24,0.0,0.0,0.0,22.78,3.21,0.0,67.41,6.9,0.34,7.14,29.89,0.0,19.08,0.0,13.67,0.0,2.54,0.0,9.76,68.29,0.0,0.0,2026,,22.12,
90+,Akademia im. Jakuba z Paradyża w Gorzowie Wielkopolskim,P,,0.8,3.31,73.19,60.9,56.41,48.03,4.04,50.94,11.71,0.0,0.0,17.02,0.0,17.11,2.68,0.0,0.0,0.0,0.0,78.51,0.0,23.49,0.0,0.0,0.0,5.31,65.49,5.46,1.92,2026,,0.0,
90+,Akademia Katolicka w Warszawie,P,,3.33,1.01,62.01,88.75,,49.44,3.59,50.0,0.0,0.0,0.0,2.77,0.0,41.7,15.09,6.27,19.88,17.08,12.5,30.27,8.6,26.28,0.0,5.48,0.0,6.9,0.0,0.0,0.0,2026,,17.7,
90+,Akademia Kultury Fizycznej im. Bronisława Czecha w Krakowie,P,,2.46,7.09,44.34,48.2,,30.12,3.59,67.5,3.24,0.0,6.3,22.92,0.0,43.26,48.21,66.26,18.94,26.74,30.13,18.19,0.0,7.08,0.0,18.4,0.0,2.94,77.94,17.94,8.79,2026,,0.0,
90+,Akademia Śląska w Katowicach,N,,1.17,1.84,65.32,22.38,66.74,18.27,8.07,0.0,0.0,0.0,0.0,13.12,0.0,43.15,20.3,0.0,0.0,0.0,0.0,15.4,0.0,30.7,20.7,0.0,0.0,14.77,9.85,2.48,0.87,2026,,9.73,
90+,Akademia Wymiaru Sprawiedliwości w Warszawie,P,,0.33,2.13,64.44,11.9,82.29,12.41,3.14,100.0,0.0,0.0,0.0,55.73,0.0,27.42,12.9,0.0,0.0,0.0,0.0,51.71,0.0,2.9,0.0,0.0,0.0,0.0,8.08,0.0,0.0,2026,,0.0,
90+,Uniwersytet WSB Merito w Toruniu,N,,0.39,6.59,72.0,67.4,65.83,20.28,5.83,0.0,0.0,0.0,0.0,34.74,0.0,53.56,0.0,0.0,0.0,0.0,0.0,1.64,0.0,11.63,7.41,0.0,0.0,0.0,31.68,0.0,0.0,2026,,34.51,
90+,Uniwersytet WSB Merito we Wrocławiu,N,,1.35,6.59,71.04,63.93,77.61,13.65,7.62,0.0,0.0,0.0,0.0,3.12,0.0,50.2,0.0,0.0,0.0,0.0,0.0,2.56,0.0,42.35,19.73,0.0,0.0,7.62,26.67,4.66,5.21,2026,,35.4,
